Configuration	Action	Object	Color	Pattern/Shape	Density	Orientation	Ordering/Quantity	EnvLandmark	Position	PerspectiveIndicator
1_v1	57	55	47	0	23	0	3	15	3	7
1_v2	62	66	49	0	7	0	6	48	49	53
2_v1	65	78	83	3	29	0	51	22	43	42
2_v2	57	83	81	4	26	1	43	23	34	34
3_v1	57	54	52	0	3	0	4	46	48	48
3_v2	57	63	57	2	18	0	18	29	18	30
4_v1	62	102	103	4	30	0	39	23	53	38
4_v2	76	109	111	6	28	0	66	29	46	44
5_v1	64	70	60	1	26	0	15	40	36	32
5_v2	52	50	51	2	16	0	7	40	21	26
6_v1	66	62	86	5	51	0	59	27	49	40
6_v2	62	81	90	2	14	0	43	16	54	15
7_v1	57	69	60	1	10	0	10	12	21	32
7_v2	64	76	74	0	18	0	23	25	31	43
8_v1	62	58	98	26	34	0	72	17	80	16
8_v2	67	103	98	1	22	0	30	26	71	17
9_v1	59	57	64	1	32	0	7	45	21	34
9_v2	51	57	50	0	4	0	6	44	45	43
10_v1	50	62	47	7	30	0	8	26	19	27
10_v2	59	72	66	0	14	0	5	40	46	47
11_v1	61	93	109	1	41	0	50	16	25	21
11_v2	70	71	57	2	19	0	15	33	32	48
12_v1	56	71	82	1	24	0	33	38	53	28
12_v2	60	63	59	1	22	0	11	52	27	41
13_v1	61	57	67	0	15	0	42	41	48	40
13_v2	54	97	104	2	14	0	30	19	67	23
14_v1	49	63	63	1	15	0	11	12	27	24
14_v2	75	97	96	2	18	0	33	48	70	49
